zipcode,lat,lng,state,city,avg2019,avg2020
15486,40.025886,-79.711164,PA,Franklin Township,140390.1667,144993.1667
56131,43.855847,-95.572539,MN,Fulda,118084.3333,119327.25
46056,39.97585,-85.611772,IN,Markleville,162558.5,181310
53153,42.934471,-88.407089,WI,North Prairie,313572.6667,325738.1667
28617,36.480702,-81.361979,NC,Crumpler,183687.25,189507.5
13332,42.764159,-75.581736,NY,Town Of Lebanon,97047.75,100168.0833
40107,37.725327,-85.598827,KY,Boston,165476.5,170671.75
49241,42.107843,-84.603335,MI,Hanover,153013.3333,169049.25
84333,41.907231,-111.812116,UT,Richmond,285548.0833,307342.75
50669,42.343165,-92.602298,IA,Reinbeck,137528.4167,140102.5833
36032,31.99463,-86.568637,AL,Fort Deposit,70485.75,74139.75
40935,36.919509,-83.722328,KY,Bimble,53621.75,50614.75
21160,39.700248,-76.306544,MD,Whiteford,299493.5833,313227.5833
70455,30.529855,-90.323981,LA,Robert,169775.75,165513.5
16611,40.579889,-78.115672,PA,Porter Township,145724.75,150858.5833
42409,37.538637,-87.692934,KY,Dixon,79614.5,83000
36053,32.02924,-85.443571,AL,Midway,50675.91667,53849.33333
6782,41.651536,-73.042744,CT,Plymouth,207887.9167,211485.25
4634,44.650967,-68.221271,ME,Franklin,160999.9167,161879.0833
7077,40.554147,-74.25306,NJ,Woodbridge Township,307749.9167,316119.5
49747,44.849651,-83.65314,MI,Hubbard Lake,150609.25,156643.5833
54014,44.648721,-92.572748,WI,Hager City,210639.1667,216908
12996,44.355266,-73.448055,NY,Town Of Willsboro,158214.9167,162516.3333
96762,21.618531,-157.9439,HI,Laie,1035821.167,1008126.833
48022,43.023396,-82.802404,MI,Emmett,216224.8333,225777.5
27888,35.589277,-77.71595,NC,Walstonburg,100481.6667,101606.5833
4253,44.411638,-70.216186,ME,Livermore,180738.25,202687.9167
46130,39.672748,-85.835022,IN,Fountaintown,200114.9167,209227.3333
32359,29.68007,-83.386649,FL,Steinhatchee,134312.5833,141283.0833
10537,41.33974,-73.882349,NY,Cortlandt Manor,234673.25,274930.5833
43358,40.41459,-83.537606,OH,West Mansfield,155255.0833,165194
60146,42.099982,-88.874061,IL,Kirkland,166892,174755.0833
24472,37.941157,-79.208568,VA,Raphine,228422.4167,232778.6667
15442,40.019082,-79.839708,PA,Redstone Township,86669.66667,83859
4970,45.007913,-70.618162,ME,Rangeley,261899,258566.0833
18077,40.570065,-75.237114,PA,Riegelsville,330890.5833,344144.3333
98320,47.718543,-122.966923,WA,Brinnon,287557.0833,296983.0833
65582,38.204152,-91.926434,MO,Vienna,139451.5,144357.5833
49751,44.982838,-84.430167,MI,Johannesburg,130318.0833,135275.3333
24085,37.679371,-79.821548,VA,Eagle Rock,129192.8333,132702.0833
54824,45.484715,-92.539887,WI,Centuria,153574,165354.25
14012,43.332173,-78.532622,NY,Barker,147527.4167,164231.6667
54245,44.030924,-87.898061,WI,Valders,165742.8333,176952.8333
94923,38.339402,-123.034599,CA,Bodega Bay,999007.5,1037775
71851,33.856659,-93.942522,AR,Mineral Springs,55274.41667,57002.75
49034,42.233525,-85.341209,MI,Climax,168193.0833,176851
95573,40.914926,-123.668723,CA,Willow Creek,279587,279829.5833
5486,44.642247,-73.30774,VT,South Hero,341309.75,367262.1667
47850,39.251931,-87.435782,IN,Farmersburg,95875,97468.41667
4911,44.769927,-69.972548,ME,Anson,94182.91667,99082.33333
22952,37.963562,-78.962741,VA,Lyndhurst,207349.8333,214068.5833
93426,35.848621,-120.938911,CA,Bradley,433408.9167,460146
97431,43.869538,-122.84149,OR,Dexter,363773.25,389892.5833
13679,44.319891,-75.770605,NY,Redwood,128775.75,129319.9167
1262,42.292202,-73.319209,MA,Stockbridge,472242,486356.75
15458,39.890125,-79.851171,PA,German Township,96424.5,98519.83333
74932,35.151594,-94.537988,OK,Rock Island,85284.75,89128.66667
48748,44.34575,-83.602632,MI,National City,99710.41667,103269.6667
3258,43.265259,-71.408835,NH,Chichester,304116,321502.3333
93626,37.043286,-119.691306,CA,Friant,462936.25,476381.9167
60184,41.951502,-88.25317,IL,Wayne,509983.25,504993.3333
52159,43.078775,-91.365594,IA,Monona,122042.6667,125512
12912,44.480941,-73.772482,NY,Black Brook,113702.8333,117384.6667
